"epoch","annual_total_cost_nzd","avg_cost_nzd_per_MWh_heat","annual_co2_tonnes","annual_carbon_cost_nzd","annual_penalty_cost_nzd"
"2020","14192745.8029133","17.3293599547171","244702.513843328","7341075.41529985","1.26334498418146E-07"
"2025","43324110.6004374","52.898791941926","186348.231457058","11180893.8874235","9.42179667617893E-07"
"2028","83560255.8542922","102.027174425265","65853.1995791545","4609723.97054081","4.05151467930409E-07"
"2035_EB","91000000.0000012","111.111111111113","0","0","5.7895022109733E-07"
"2035_BB","76831306.4412553","93.8111189758917","1610.28213194485","144925.391875036","5.80939740757458E-07"
