epoch_tag,strategy_id,strategy_label,future_id,selected_upgrade_name,selected_capacity_MW,annualised_upgrade_cost_nzd,annual_incremental_MWh,annual_shed_MWh,shed_fraction,annual_shed_cost_nzd,total_cost_nzd,n_hours_binding,unserved_peak_MW
2035_BB,S_AUTO,Auto-select upgrade (min cost),0,fonterra_opt3_N_plus97MW,97.0,5241263.57879352,592939.5973030096,0.0,0.0,0.0,5241263.57879352,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),1,fonterra_opt3_N_plus97MW,97.0,4905822.709750735,563292.6174378591,0.0,0.0,0.0,4905822.709750735,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),2,fonterra_opt3_N_plus97MW,97.0,5534774.339205958,622586.5771681601,0.0,0.0,0.0,5534774.339205958,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),3,fonterra_opt3_N_plus97MW,97.0,7044258.249898491,652233.5570333105,0.0,0.0,0.0,7044258.249898491,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),4,fonterra_opt3_N_plus97MW,97.0,5241263.57879352,592939.5973030096,0.0,0.0,0.0,5241263.57879352,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),5,fonterra_opt3_N_plus97MW,97.0,6509649.364861553,622586.5771681601,0.0,0.0,0.0,6509649.364861553,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),6,fonterra_opt3_N_plus97MW,97.0,4580864.367865536,563292.6174378591,0.0,0.0,0.0,4580864.367865536,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),7,fonterra_opt3_N_plus97MW,97.0,5635406.599918793,640374.7650872504,0.0,0.0,0.0,5635406.599918793,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),8,fonterra_opt3_N_plus97MW,97.0,5524711.113134676,581080.8053569493,0.0,0.0,0.0,5524711.113134676,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),9,fonterra_opt3_N_plus97MW,97.0,5091992.392069481,604798.3892490697,0.0,0.0,0.0,5091992.392069481,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),10,fonterra_opt3_N_plus97MW,97.0,5541483.156586814,610727.7852220999,0.0,0.0,0.0,5541483.156586814,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),11,fonterra_opt3_N_plus97MW,97.0,5484877.509935844,575151.4093839193,0.0,0.0,0.0,5484877.509935844,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),12,fonterra_opt3_N_plus97MW,97.0,4538514.9581488855,628515.9731411901,0.0,0.0,0.0,4538514.9581488855,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),13,fonterra_opt3_N_plus97MW,97.0,6382601.135711597,598868.9932760397,0.0,0.0,0.0,6382601.135711597,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),14,fonterra_opt3_N_plus97MW,97.0,5377955.732928456,587010.2013299796,0.0,0.0,0.0,5377955.732928456,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),15,fonterra_opt3_N_plus97MW,97.0,5124697.876801153,616657.1811951299,0.0,0.0,0.0,5124697.876801153,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),16,fonterra_opt3_N_plus97MW,97.0,5927240.155986016,634445.3691142203,0.0,0.0,0.0,5927240.155986016,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),17,fonterra_opt3_N_plus97MW,97.0,5547772.672881366,569222.0134108892,0.0,0.0,0.0,5547772.672881366,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),18,fonterra_opt3_N_plus97MW,97.0,5338960.731902231,646304.1610602804,0.0,0.0,0.0,5338960.731902231,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),19,fonterra_opt3_N_plus97MW,97.0,5242102.180966128,592939.5973030096,0.0,0.0,0.0,5242102.180966128,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),20,fonterra_opt3_N_plus97MW,97.0,5445463.207823317,604798.3892490697,0.0,0.0,0.0,5445463.207823317,0,0.0
