timestamp_utc,epoch,baseline_import_mw,incremental_demand_mw,grid_import_mw,shed_mw,headroom_mw,headroom_effective_MW,headroom_remaining_mw,upgrade_selected_MW,upgrade_annual_cost_nzd,tariff_nzd_per_mwh,tariff_effective_nzd_per_mwh,capacity_mw,reserve_margin_mw
2028-01-01T00:00:00Z,2028,22.669671,10.330329,33.0,0.0,10.330329,10.330329,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-01T01:00:00Z,2028,22.228644,10.771356,33.0,0.0,10.771356,10.771356,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-01T02:00:00Z,2028,21.824871,11.175129,33.0,0.0,11.175129,11.175129,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-01T03:00:00Z,2028,21.537193,11.462807,33.0,0.0,11.462807,11.462807,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-01T04:00:00Z,2028,21.606328,11.393672,33.0,0.0,11.393672,11.393672,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-01T05:00:00Z,2028,22.306544,10.693456,33.0,0.0,10.693456,10.693456,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-01T06:00:00Z,2028,23.214951,9.785049,33.0,0.0,9.785049,9.785049,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-01T07:00:00Z,2028,23.347389,9.652610999999998,33.0,0.0,9.652611,9.652611,1.7763568394002505e-15,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-01T08:00:00Z,2028,22.677916,10.322084,33.0,0.0,10.322084,10.322084,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-01T09:00:00Z,2028,22.148832,10.851167999999998,33.0,0.0,10.851168,10.851168,1.7763568394002505e-15,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-01T10:00:00Z,2028,21.64616,11.353839999999998,33.0,0.0,11.35384,11.35384,1.7763568394002505e-15,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-01T11:00:00Z,2028,21.75803,11.24197,33.0,0.0,11.24197,11.24197,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-01T12:00:00Z,2028,21.677124,11.322876,33.0,0.0,11.322876,11.322876,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-01T13:00:00Z,2028,21.473241,11.526759,33.0,0.0,11.526759,11.526759,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-01T14:00:00Z,2028,22.761255,10.238745,33.0,0.0,10.238745,10.238745,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-01T15:00:00Z,2028,24.033815,8.966185,33.0,0.0,8.966185,8.966185,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-01T16:00:00Z,2028,23.84426,9.155739999999998,33.0,0.0,9.15574,9.15574,1.7763568394002505e-15,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-01T17:00:00Z,2028,23.601059,9.398941,33.0,0.0,9.398941,9.398941,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-01T18:00:00Z,2028,23.197257,9.802743,33.0,0.0,9.802743,9.802743,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-01T19:00:00Z,2028,23.893768,9.106232,33.0,0.0,9.106232,9.106232,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-01T20:00:00Z,2028,23.782885,9.217115,33.0,0.0,9.217115,9.217115,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-01T21:00:00Z,2028,23.517404,9.482595999999996,32.99999999999999,0.0,9.482596,9.482596,3.552713678800501e-15,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-01T22:00:00Z,2028,23.376626,9.623374,33.0,0.0,9.623374,9.623374,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-01T23:00:00Z,2028,23.173721,9.826278999999998,33.0,0.0,9.826279,9.826279,1.7763568394002505e-15,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-02T00:00:00Z,2028,22.941363,10.058637,33.0,0.0,10.058637,10.058637,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-02T01:00:00Z,2028,22.362935,10.637065,33.0,0.0,10.637065,10.637065,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-02T02:00:00Z,2028,21.776382,11.223618,33.0,0.0,11.223618,11.223618,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-02T03:00:00Z,2028,21.359006,11.640994,33.0,0.0,11.640994,11.640994,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-02T04:00:00Z,2028,21.662251,11.337749,33.0,0.0,11.337749,11.337749,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-02T05:00:00Z,2028,22.255826,10.744174,33.0,0.0,10.744174,10.744174,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-02T06:00:00Z,2028,23.26975,9.730249999999998,33.0,0.0,9.73025,9.73025,1.7763568394002505e-15,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-02T07:00:00Z,2028,23.233373,9.766626999999998,33.0,0.0,9.766627,9.766627,1.7763568394002505e-15,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-02T08:00:00Z,2028,22.284353,10.715647,33.0,0.0,10.715647,10.715647,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-02T09:00:00Z,2028,21.575789,11.424210999999998,33.0,0.0,11.424211,11.424211,1.7763568394002505e-15,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-02T10:00:00Z,2028,21.027014,11.972986,33.0,0.0,11.972986,11.972986,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-02T11:00:00Z,2028,20.823021,12.176979,33.0,0.0,12.176979,12.176979,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-02T12:00:00Z,2028,21.055527,11.944473,33.0,0.0,11.944473,11.944473,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-02T13:00:00Z,2028,20.722138,12.277862,33.0,0.0,12.277862,12.277862,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-02T14:00:00Z,2028,22.178586,10.821414,33.0,0.0,10.821414,10.821414,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-02T15:00:00Z,2028,23.248278,9.751722,33.0,0.0,9.751722,9.751722,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-02T16:00:00Z,2028,23.653099,9.346901,33.0,0.0,9.346901,9.346901,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-02T17:00:00Z,2028,23.02128,9.97872,33.0,0.0,9.97872,9.97872,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-02T18:00:00Z,2028,23.130654,9.869346,33.0,0.0,9.869346,9.869346,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-02T19:00:00Z,2028,23.656681,9.343319,33.0,0.0,9.343319,9.343319,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-02T20:00:00Z,2028,23.771751,9.228249,33.0,0.0,9.228249,9.228249,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-02T21:00:00Z,2028,23.355109,9.644890999999998,33.0,0.0,9.644891,9.644891,1.7763568394002505e-15,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-02T22:00:00Z,2028,23.239299,9.760701,33.0,0.0,9.760701,9.760701,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-02T23:00:00Z,2028,23.236909,9.763090999999998,33.0,0.0,9.763091,9.763091,1.7763568394002505e-15,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-03T00:00:00Z,2028,23.080734,9.919266,33.0,0.0,9.919266,9.919266,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-03T01:00:00Z,2028,22.577303,10.422697,33.0,0.0,10.422697,10.422697,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-03T02:00:00Z,2028,22.018124,10.981875999999998,33.0,0.0,10.981876,10.981876,1.7763568394002505e-15,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-03T03:00:00Z,2028,21.577268,11.422731999999998,33.0,0.0,11.422732,11.422732,1.7763568394002505e-15,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-03T04:00:00Z,2028,21.939304,11.060696,33.0,0.0,11.060696,11.060696,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-03T05:00:00Z,2028,23.052982,9.947018,33.0,0.0,9.947018,9.947018,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-03T06:00:00Z,2028,23.987721,9.012279,33.0,0.0,9.012279,9.012279,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-03T07:00:00Z,2028,24.312405,8.687594999999998,33.0,0.0,8.687595,8.687595,1.7763568394002505e-15,0.0,0.0,189.0,189.0,33.25,0.25
2028-01-03T08:00:00Z,2028,23.299615,9.700385,33.0,0.0,9.700385,9.700385,0.0,0.0,0.0,189.0,189.0,33.25,0.25
2028-01-03T09:00:00Z,2028,22.683949,10.316051,33.0,0.0,10.316051,10.316051,0.0,0.0,0.0,189.0,189.0,33.25,0.25
2028-01-03T10:00:00Z,2028,22.253806,10.746194,33.0,0.0,10.746194,10.746194,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-03T11:00:00Z,2028,22.292347,10.707653,33.0,0.0,10.707653,10.707653,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-03T12:00:00Z,2028,22.075902,10.924098,33.0,0.0,10.924098,10.924098,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-03T13:00:00Z,2028,22.129684,10.870316,33.0,0.0,10.870316,10.870316,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-03T14:00:00Z,2028,23.06707,9.93293,33.0,0.0,9.93293,9.93293,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-03T15:00:00Z,2028,23.91441,9.085589999999998,33.0,0.0,9.08559,9.08559,1.7763568394002505e-15,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-03T16:00:00Z,2028,24.033151,8.966848999999998,33.0,0.0,8.966849,8.966849,1.7763568394002505e-15,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-03T17:00:00Z,2028,23.631853,9.368147,33.0,0.0,9.368147,9.368147,0.0,0.0,0.0,189.0,189.0,33.25,0.25
2028-01-03T18:00:00Z,2028,23.116218,9.883782,33.0,0.0,9.883782,9.883782,0.0,0.0,0.0,189.0,189.0,33.25,0.25
2028-01-03T19:00:00Z,2028,23.803418,9.196582,33.0,0.0,9.196582,9.196582,0.0,0.0,0.0,189.0,189.0,33.25,0.25
2028-01-03T20:00:00Z,2028,23.615559,9.384441,33.0,0.0,9.384441,9.384441,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-03T21:00:00Z,2028,23.204706,9.795294,33.0,0.0,9.795294,9.795294,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-03T22:00:00Z,2028,23.015475,9.984524999999998,33.0,0.0,9.984525,9.984525,1.7763568394002505e-15,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-03T23:00:00Z,2028,23.059853,9.940147,33.0,0.0,9.940147,9.940147,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-04T00:00:00Z,2028,22.536711,10.463288999999998,33.0,0.0,10.463289,10.463289,1.7763568394002505e-15,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-04T01:00:00Z,2028,22.270253,10.729747,33.0,0.0,10.729747,10.729747,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-04T02:00:00Z,2028,21.975379,11.024620999999998,33.0,0.0,11.024621,11.024621,1.7763568394002505e-15,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-04T03:00:00Z,2028,21.880808,11.119191999999998,33.0,0.0,11.119192,11.119192,1.7763568394002505e-15,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-04T04:00:00Z,2028,22.554387,10.445613,33.0,0.0,10.445613,10.445613,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-04T05:00:00Z,2028,23.631372,9.368628,33.0,0.0,9.368628,9.368628,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-04T06:00:00Z,2028,24.795072,8.204928,33.0,0.0,8.204928,8.204928,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-04T07:00:00Z,2028,24.641367,8.358632999999998,33.0,0.0,8.358633,8.358633,1.7763568394002505e-15,0.0,0.0,189.0,189.0,33.25,0.25
2028-01-04T08:00:00Z,2028,23.619351,9.380649,33.0,0.0,9.380649,9.380649,0.0,0.0,0.0,189.0,189.0,33.25,0.25
2028-01-04T09:00:00Z,2028,22.824222,10.175778,33.0,0.0,10.175778,10.175778,0.0,0.0,0.0,189.0,189.0,33.25,0.25
2028-01-04T10:00:00Z,2028,22.277327,10.722673,33.0,0.0,10.722673,10.722673,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-04T11:00:00Z,2028,22.090139,10.909861,33.0,0.0,10.909861,10.909861,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-04T12:00:00Z,2028,22.28705,10.712949999999998,33.0,0.0,10.71295,10.71295,1.7763568394002505e-15,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-04T13:00:00Z,2028,22.458481,10.541519,33.0,0.0,10.541519,10.541519,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-04T14:00:00Z,2028,24.015548,8.984452,33.0,0.0,8.984452,8.984452,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-04T15:00:00Z,2028,24.768327,8.231673,33.0,0.0,8.231673,8.231673,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-04T16:00:00Z,2028,25.261376,7.738624,33.0,0.0,7.738624,7.738624,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-04T17:00:00Z,2028,24.86143,8.13857,33.0,0.0,8.13857,8.13857,0.0,0.0,0.0,189.0,189.0,33.25,0.25
2028-01-04T18:00:00Z,2028,24.336801,8.663199,33.0,0.0,8.663199,8.663199,0.0,0.0,0.0,189.0,189.0,33.25,0.25
2028-01-04T19:00:00Z,2028,24.305185,8.694814999999998,33.0,0.0,8.694815,8.694815,1.7763568394002505e-15,0.0,0.0,189.0,189.0,33.25,0.25
2028-01-04T20:00:00Z,2028,23.859619,9.140380999999998,33.0,0.0,9.140381,9.140381,1.7763568394002505e-15,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-04T21:00:00Z,2028,23.568233,9.431767,33.0,0.0,9.431767,9.431767,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-04T22:00:00Z,2028,23.374436,9.625564,33.0,0.0,9.625564,9.625564,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-04T23:00:00Z,2028,23.542764,9.457236,33.0,0.0,9.457236,9.457236,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-05T00:00:00Z,2028,22.99235,10.00765,33.0,0.0,10.00765,10.00765,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-05T01:00:00Z,2028,22.943439,10.056561,33.0,0.0,10.056561,10.056561,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-05T02:00:00Z,2028,22.521937,10.478063,33.0,0.0,10.478063,10.478063,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-05T03:00:00Z,2028,22.106893,10.893107,33.0,0.0,10.893107,10.893107,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-05T04:00:00Z,2028,22.320849,10.679151,33.0,0.0,10.679151,10.679151,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-05T05:00:00Z,2028,23.238095,9.761905,33.0,0.0,9.761905,9.761905,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-05T06:00:00Z,2028,24.119764,8.880236,33.0,0.0,8.880236,8.880236,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-05T07:00:00Z,2028,24.349832,8.650167999999999,33.0,0.0,8.650168,8.650168,1.7763568394002505e-15,0.0,0.0,189.0,189.0,33.25,0.25
2028-01-05T08:00:00Z,2028,23.204075,9.795925,33.0,0.0,9.795925,9.795925,0.0,0.0,0.0,189.0,189.0,33.25,0.25
2028-01-05T09:00:00Z,2028,22.377538,10.622462,33.0,0.0,10.622462,10.622462,0.0,0.0,0.0,189.0,189.0,33.25,0.25
2028-01-05T10:00:00Z,2028,22.115267,10.884733,33.0,0.0,10.884733,10.884733,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-05T11:00:00Z,2028,22.151439,10.848561,33.0,0.0,10.848561,10.848561,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-05T12:00:00Z,2028,22.480661,10.519339,33.0,0.0,10.519339,10.519339,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-05T13:00:00Z,2028,22.700077,10.299923,33.0,0.0,10.299923,10.299923,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-05T14:00:00Z,2028,23.728021,9.271979,33.0,0.0,9.271979,9.271979,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-05T15:00:00Z,2028,24.63382,8.36618,33.0,0.0,8.36618,8.36618,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-05T16:00:00Z,2028,24.886175,8.113825,33.0,0.0,8.113825,8.113825,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-05T17:00:00Z,2028,24.314469,8.685531,33.0,0.0,8.685531,8.685531,0.0,0.0,0.0,189.0,189.0,33.25,0.25
2028-01-05T18:00:00Z,2028,23.687887,9.312113,33.0,0.0,9.312113,9.312113,0.0,0.0,0.0,189.0,189.0,33.25,0.25
2028-01-05T19:00:00Z,2028,23.876013,9.123987,33.0,0.0,9.123987,9.123987,0.0,0.0,0.0,189.0,189.0,33.25,0.25
2028-01-05T20:00:00Z,2028,23.777171,9.222829,33.0,0.0,9.222829,9.222829,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-05T21:00:00Z,2028,23.343107,9.656893,33.0,0.0,9.656893,9.656893,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-05T22:00:00Z,2028,23.258253,9.741747,33.0,0.0,9.741747,9.741747,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-05T23:00:00Z,2028,23.271744,9.728256,33.0,0.0,9.728256,9.728256,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-06T00:00:00Z,2028,22.866864,10.133136,33.0,0.0,10.133136,10.133136,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-06T01:00:00Z,2028,22.624409,10.375591,33.0,0.0,10.375591,10.375591,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-06T02:00:00Z,2028,22.086711,10.913289,33.0,0.0,10.913289,10.913289,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-06T03:00:00Z,2028,21.814084,11.185916,33.0,0.0,11.185916,11.185916,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-06T04:00:00Z,2028,21.981198,11.018802,33.0,0.0,11.018802,11.018802,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-06T05:00:00Z,2028,22.962042,10.037958,33.0,0.0,10.037958,10.037958,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-06T06:00:00Z,2028,23.756726,9.243273999999998,33.0,0.0,9.243274,9.243274,1.7763568394002505e-15,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-06T07:00:00Z,2028,23.735527,9.264473,33.0,0.0,9.264473,9.264473,0.0,0.0,0.0,189.0,189.0,33.25,0.25
2028-01-06T08:00:00Z,2028,22.920247,10.079752999999998,33.0,0.0,10.079753,10.079753,1.7763568394002505e-15,0.0,0.0,189.0,189.0,33.25,0.25
2028-01-06T09:00:00Z,2028,22.01738,10.98262,33.0,0.0,10.98262,10.98262,0.0,0.0,0.0,189.0,189.0,33.25,0.25
2028-01-06T10:00:00Z,2028,21.481228,11.518771999999998,33.0,0.0,11.518772,11.518772,1.7763568394002505e-15,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-06T11:00:00Z,2028,21.790395,11.209605,33.0,0.0,11.209605,11.209605,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-06T12:00:00Z,2028,22.045146,10.954854,33.0,0.0,10.954854,10.954854,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-06T13:00:00Z,2028,22.003459,10.996541,33.0,0.0,10.996541,10.996541,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-06T14:00:00Z,2028,23.246328,9.753672,33.0,0.0,9.753672,9.753672,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-06T15:00:00Z,2028,24.375064,8.624936,33.0,0.0,8.624936,8.624936,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-06T16:00:00Z,2028,24.546799,8.453201,33.0,0.0,8.453201,8.453201,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-06T17:00:00Z,2028,24.055438,8.944561999999998,33.0,0.0,8.944562,8.944562,1.7763568394002505e-15,0.0,0.0,189.0,189.0,33.25,0.25
2028-01-06T18:00:00Z,2028,23.290491,9.709509,33.0,0.0,9.709509,9.709509,0.0,0.0,0.0,189.0,189.0,33.25,0.25
2028-01-06T19:00:00Z,2028,23.689549,9.310451,33.0,0.0,9.310451,9.310451,0.0,0.0,0.0,189.0,189.0,33.25,0.25
2028-01-06T20:00:00Z,2028,23.054902,9.945098,33.0,0.0,9.945098,9.945098,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-06T21:00:00Z,2028,22.435191,10.564809,33.0,0.0,10.564809,10.564809,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-06T22:00:00Z,2028,22.772286,10.227714,33.0,0.0,10.227714,10.227714,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-06T23:00:00Z,2028,23.193148,9.806852,33.0,0.0,9.806852,9.806852,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-07T00:00:00Z,2028,22.78216,10.21784,33.0,0.0,10.21784,10.21784,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-07T01:00:00Z,2028,22.220511,10.779488999999998,33.0,0.0,10.779489,10.779489,1.7763568394002505e-15,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-07T02:00:00Z,2028,21.833466,11.166534,33.0,0.0,11.166534,11.166534,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-07T03:00:00Z,2028,21.417168,11.582832,33.0,0.0,11.582832,11.582832,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-07T04:00:00Z,2028,21.407101,11.592899,33.0,0.0,11.592899,11.592899,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-07T05:00:00Z,2028,22.226666,10.773333999999998,33.0,0.0,10.773334,10.773334,1.7763568394002505e-15,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-07T06:00:00Z,2028,22.80207,10.19793,33.0,0.0,10.19793,10.19793,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-07T07:00:00Z,2028,23.225945,9.774055,33.0,0.0,9.774055,9.774055,0.0,0.0,0.0,189.0,189.0,33.25,0.25
2028-01-07T08:00:00Z,2028,22.328084,10.671916,33.0,0.0,10.671916,10.671916,0.0,0.0,0.0,189.0,189.0,33.25,0.25
2028-01-07T09:00:00Z,2028,21.574241,11.425758999999998,33.0,0.0,11.425759,11.425759,1.7763568394002505e-15,0.0,0.0,189.0,189.0,33.25,0.25
2028-01-07T10:00:00Z,2028,21.186257,11.813743,33.0,0.0,11.813743,11.813743,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-07T11:00:00Z,2028,20.964993,12.035007,33.0,0.0,12.035007,12.035007,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-07T12:00:00Z,2028,21.08339,11.91661,33.0,0.0,11.91661,11.91661,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-07T13:00:00Z,2028,20.849004,12.150996,33.0,0.0,12.150996,12.150996,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-07T14:00:00Z,2028,22.223797,10.776203,33.0,0.0,10.776203,10.776203,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-07T15:00:00Z,2028,23.291114,9.708885999999998,33.0,0.0,9.708886,9.708886,1.7763568394002505e-15,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-07T16:00:00Z,2028,23.634688,9.365312,33.0,0.0,9.365312,9.365312,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-07T17:00:00Z,2028,23.49664,9.50336,33.0,0.0,9.50336,9.50336,0.0,0.0,0.0,189.0,189.0,33.25,0.25
2028-01-07T18:00:00Z,2028,22.890591,10.109409,33.0,0.0,10.109409,10.109409,0.0,0.0,0.0,189.0,189.0,33.25,0.25
2028-01-07T19:00:00Z,2028,23.051881,9.948119,33.0,0.0,9.948119,9.948119,0.0,0.0,0.0,189.0,189.0,33.25,0.25
2028-01-07T20:00:00Z,2028,23.020645,9.979354999999998,33.0,0.0,9.979355,9.979355,1.7763568394002505e-15,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-07T21:00:00Z,2028,22.963248,10.036752,33.0,0.0,10.036752,10.036752,0.0,0.0,0.0,154.0,154.0,33.25,0.25
2028-01-07T22:00:00Z,2028,22.580529,10.419471,33.0,0.0,10.419471,10.419471,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-07T23:00:00Z,2028,22.52982,10.47018,33.0,0.0,10.47018,10.47018,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-08T00:00:00Z,2028,21.684159,11.315841,33.0,0.0,11.315841,11.315841,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-08T01:00:00Z,2028,21.379817,11.620183,33.0,0.0,11.620183,11.620183,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-08T02:00:00Z,2028,20.929788,12.070212,33.0,0.0,12.070212,12.070212,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-08T03:00:00Z,2028,20.215793,12.784207,33.0,0.0,12.784207,12.784207,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-08T04:00:00Z,2028,20.662809,12.337191,33.0,0.0,12.337191,12.337191,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-08T05:00:00Z,2028,21.349573,11.650427,33.0,0.0,11.650427,11.650427,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-08T06:00:00Z,2028,22.365857,10.634143,33.0,0.0,10.634143,10.634143,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-08T07:00:00Z,2028,22.508878,10.491122,33.0,0.0,10.491122,10.491122,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-08T08:00:00Z,2028,21.747208,11.252791999999998,33.0,0.0,11.252792,11.252792,1.7763568394002505e-15,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-08T09:00:00Z,2028,21.068458,11.931542,33.0,0.0,11.931542,11.931542,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-08T10:00:00Z,2028,20.56318,12.43682,33.0,0.0,12.43682,12.43682,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-08T11:00:00Z,2028,20.669824,12.330176,33.0,0.0,12.330176,12.330176,0.0,0.0,0.0,119.0,119.0,33.25,0.25
2028-01-08T12:00:00Z,2028,20.895457,12.104543,33.0,0.0,12.104543,12.104543,0.0,0.0,0.0,119.0,119.0,33.25,0.25
